File,aid,Date,0,8,16,32,40,48,65,73,81,97,105,113,157
ET_QC_500m_2001073_aid0001,aid0001,2001-03-14 00:00:00+00:00,,,,,,,,,,,1.0,,
ET_QC_500m_2001081_aid0001,aid0001,2001-03-22 00:00:00+00:00,,,1.0,,,,,,,,,,
ET_QC_500m_2001089_aid0001,aid0001,2001-03-30 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001097_aid0001,aid0001,2001-04-07 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001105_aid0001,aid0001,2001-04-15 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001113_aid0001,aid0001,2001-04-23 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001121_aid0001,aid0001,2001-05-01 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001129_aid0001,aid0001,2001-05-09 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001137_aid0001,aid0001,2001-05-17 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001145_aid0001,aid0001,2001-05-25 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001153_aid0001,aid0001,2001-06-02 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001161_aid0001,aid0001,2001-06-10 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001185_aid0001,aid0001,2001-07-04 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001193_aid0001,aid0001,2001-07-12 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001201_aid0001,aid0001,2001-07-20 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001209_aid0001,aid0001,2001-07-28 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001217_aid0001,aid0001,2001-08-05 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001225_aid0001,aid0001,2001-08-13 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2001233_aid0001,aid0001,2001-08-21 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001241_aid0001,aid0001,2001-08-29 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001249_aid0001,aid0001,2001-09-06 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001257_aid0001,aid0001,2001-09-14 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001265_aid0001,aid0001,2001-09-22 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001273_aid0001,aid0001,2001-09-30 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001281_aid0001,aid0001,2001-10-08 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2001289_aid0001,aid0001,2001-10-16 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001297_aid0001,aid0001,2001-10-24 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001305_aid0001,aid0001,2001-11-01 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001313_aid0001,aid0001,2001-11-09 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001321_aid0001,aid0001,2001-11-17 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001329_aid0001,aid0001,2001-11-25 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001337_aid0001,aid0001,2001-12-03 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001345_aid0001,aid0001,2001-12-11 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001353_aid0001,aid0001,2001-12-19 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2001361_aid0001,aid0001,2001-12-27 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002001_aid0001,aid0001,2002-01-01 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002009_aid0001,aid0001,2002-01-09 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002017_aid0001,aid0001,2002-01-17 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002025_aid0001,aid0001,2002-01-25 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002033_aid0001,aid0001,2002-02-02 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002041_aid0001,aid0001,2002-02-10 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002049_aid0001,aid0001,2002-02-18 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002057_aid0001,aid0001,2002-02-26 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002065_aid0001,aid0001,2002-03-06 00:00:00+00:00,,,1.0,,,,,,,,,,
ET_QC_500m_2002073_aid0001,aid0001,2002-03-14 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002081_aid0001,aid0001,2002-03-22 00:00:00+00:00,,,,,,,,,,,1.0,,
ET_QC_500m_2002089_aid0001,aid0001,2002-03-30 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002097_aid0001,aid0001,2002-04-07 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002105_aid0001,aid0001,2002-04-15 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002113_aid0001,aid0001,2002-04-23 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002121_aid0001,aid0001,2002-05-01 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002129_aid0001,aid0001,2002-05-09 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002137_aid0001,aid0001,2002-05-17 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002145_aid0001,aid0001,2002-05-25 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2002153_aid0001,aid0001,2002-06-02 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002161_aid0001,aid0001,2002-06-10 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2002169_aid0001,aid0001,2002-06-18 00:00:00+00:00,,,,,1.0,,,,,,,,
ET_QC_500m_2002177_aid0001,aid0001,2002-06-26 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2002185_aid0001,aid0001,2002-07-04 00:00:00+00:00,,,,,,,,,,,,1.0,
ET_QC_500m_2002193_aid0001,aid0001,2002-07-12 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002201_aid0001,aid0001,2002-07-20 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2002209_aid0001,aid0001,2002-07-28 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2002217_aid0001,aid0001,2002-08-05 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002225_aid0001,aid0001,2002-08-13 00:00:00+00:00,,,,,,,,,,,,1.0,
ET_QC_500m_2002233_aid0001,aid0001,2002-08-21 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002241_aid0001,aid0001,2002-08-29 00:00:00+00:00,,,,,,,,,,,,1.0,
ET_QC_500m_2002249_aid0001,aid0001,2002-09-06 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002257_aid0001,aid0001,2002-09-14 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002265_aid0001,aid0001,2002-09-22 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002273_aid0001,aid0001,2002-09-30 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002281_aid0001,aid0001,2002-10-08 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002289_aid0001,aid0001,2002-10-16 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2002297_aid0001,aid0001,2002-10-24 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002305_aid0001,aid0001,2002-11-01 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002313_aid0001,aid0001,2002-11-09 00:00:00+00:00,,,1.0,,,,,,,,,,
ET_QC_500m_2002321_aid0001,aid0001,2002-11-17 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002329_aid0001,aid0001,2002-11-25 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002337_aid0001,aid0001,2002-12-03 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2002345_aid0001,aid0001,2002-12-11 00:00:00+00:00,1.0,,,,,,,,,,,,
